"Direcc..Media.de.Proced..0.N.90.E."	"logHm0"	"logTm02"	"logTp"	"ID"	"loc"
193	1.33236601909433	1.85159946958407	2.11986345617875	2102	"MarTarragona"
75	1.76130026174335	2.05412373369555	2.31253542384721	2102	"MarTarragona"
200	1.26129787094521	1.8099267731835	2.09556092355972	2102	"MarTarragona"
89	1.55603713570699	1.93152141160321	2.1540850846756	2102	"MarTarragona"
101	1.37118072330984	1.89461685466776	2.19833507162025	2102	"MarTarragona"
74	1.55392520250384	1.93730177451871	2.19833507162025	2102	"MarTarragona"
66	1.48160454092422	2.02946317187359	2.39698576841553	2102	"MarTarragona"
62	1.5810384379124	2.03470564783844	2.3646204839135	2102	"MarTarragona"
81	1.65822807660353	2.01756613796175	2.26384426467762	2102	"MarTarragona"
195	1.14103300455206	1.79508725932073	2.1126345090356	2102	"MarTarragona"
89	1.38879124131848	1.85473426838944	2.21593728626837	2102	"MarTarragona"
88	1.61541998411165	1.96290772542388	2.18041745901984	2102	"MarTarragona"
71	1.64480505627139	2.04251818757524	2.32238772029023	2102	"MarTarragona"
63	1.49962304642689	1.96711235670592	2.26384426467762	2102	"MarTarragona"
196	1.08518926833597	1.74745921033147	2.02551319965428	2102	"MarTarragona"
63	1.75785791755237	2.05923883436232	2.35422832614588	2102	"MarTarragona"
198	1.14103300455206	1.7245507195346	1.96571277635149	2102	"MarTarragona"
72	1.6094379124341	2.01756613796175	2.34372703632522	2102	"MarTarragona"
73	1.33762918913861	1.8961194845523	2.1540850846756	2102	"MarTarragona"
83	1.45395300959371	1.90954250488444	2.17133680638409	2102	"MarTarragona"
65	1.48839958405704	2.01756613796175	2.3646204839135	2102	"MarTarragona"
74	1.24415459395877	1.77833644889591	2.03992078351755	2102	"MarTarragona"
66	1.35840915763035	1.94304891677428	2.26384426467762	2102	"MarTarragona"
72	1.46093790411566	1.92278773163446	2.18941639488841	2102	"MarTarragona"
72	1.55180879959746	1.93296963777958	2.18041745901984	2102	"MarTarragona"
78	1.22377543162212	1.82616089594539	2.11986345617875	2102	"MarTarragona"
78	1.54968790802833	1.97962120639763	2.2353763433006	2102	"MarTarragona"
72	1.38128181929635	1.85785927093258	2.13653050866396	2102	"MarTarragona"
79	1.3609765531356	1.85002837735203	2.08691355651854	2102	"MarTarragona"
195	1.33236601909433	1.8213182714696	2.07191327525904	2102	"MarTarragona"
99	1.17248213723457	1.72097928716701	1.95868534054404	2102	"MarTarragona"
67	1.59330853050422	1.95444505150515	2.22570404865809	2102	"MarTarragona"
65	1.56861591791385	2.03339760317843	2.33311429802887	2102	"MarTarragona"
73	0.928219302739429	1.78002421300963	2.21593728626837	2102	"MarTarragona"
194	1.31103187661934	1.8099267731835	2.05540496385159	2102	"MarTarragona"
101	1.31372366828506	1.8229350866965	2.13653050866396	2102	"MarTarragona"
71	1.84687876844913	2.13060982825424	2.41947884446554	2102	"MarTarragona"
77	1.44926916028128	1.90657514365664	2.14593128294867	2102	"MarTarragona"
73	1.91692261218206	2.04381436403668	2.31253542384721	2102	"MarTarragona"
76	1.37371557891303	1.86562931779451	2.12823170584927	2102	"MarTarragona"
194	1.26129787094521	1.79009141212736	2.05412373369555	2102	"MarTarragona"
57	1.28923264827676	1.83418018511201	2.22354188565359	2102	"MarTarragona"
296	1.41585316336144	1.78339121955754	2.05027016437956	2102	"MarTarragona"
172	1.41342302850814	1.88251383249652	2.15176220325946	2102	"MarTarragona"
58	1.61342993370364	1.97408102602201	2.31154483436552	2102	"MarTarragona"
57	1.93585981320181	2.07065303564676	2.34468626901268	2102	"MarTarragona"
